tax_id	object_id	object_label	object_categories	object_aliases	subject_label	start	end
421	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
80842	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
92645	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
964	GO:0009399	nitrogen fixation	[]	[]	nitrogen fixation		
1423	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1423	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
285070	GO:0006113	fermentation	[]	[]	fermentation		
1590	GO:0006113	fermentation	[]	[]	fermentation		
562	GO:0006113	fermentation	[]	[]	fermentation		
170367	GO:0006113	fermentation	[]	[]	fermentation		
217159	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
986710	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1413	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1411	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
127891	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
474953	GO:0006113	fermentation	[]	[]	fermentation		
474953	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
474953	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
52603	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
372072	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
56	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
56	GO:0006113	fermentation	[]	[]	fermentation		
56	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
293647	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
48	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1288027	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1564487	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
548918	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
548918	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
548918	GO:0006113	fermentation	[]	[]	fermentation		
717609	GO:0006113	fermentation	[]	[]	fermentation		
717609	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29356	GO:0006113	fermentation	[]	[]	fermentation		
29356	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1711	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1709	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
301388	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
43670	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
266130	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1708	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1712	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
76862	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
76862	GO:0006113	fermentation	[]	[]	fermentation		
76861	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
76861	GO:0006113	fermentation	[]	[]	fermentation		
311234	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
233583	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
233583	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1493	GO:0006113	fermentation	[]	[]	fermentation		
1493	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1493	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1523	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1401	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
44001	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
44001	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1510	GO:0006113	fermentation	[]	[]	fermentation		
1510	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
556	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29355	GO:0006113	fermentation	[]	[]	fermentation		
29355	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29360	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29360	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
29360	GO:0006113	fermentation	[]	[]	fermentation		
1521	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1499	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
35830	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
35825	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29353	GO:0006113	fermentation	[]	[]	fermentation		
29353	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
29353	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29354	GO:0006113	fermentation	[]	[]	fermentation		
29354	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
37658	GO:0006113	fermentation	[]	[]	fermentation		
37658	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29362	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
29362	GO:0006113	fermentation	[]	[]	fermentation		
44001	GO:0006113	fermentation	[]	[]	fermentation		
29322	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
29322	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
43305	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
43305	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
2021	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
2021	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
153721	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
985	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1265	GO:0006113	fermentation	[]	[]	fermentation		
1265	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1265	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1264	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
1264	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
1264	GO:0006113	fermentation	[]	[]	fermentation		
1161942	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
833	GO:0030245	cellulose catabolic process	[]	[]	cellulose degradation		
833	GO:0045493	xylan catabolic process	[]	[]	xylan degradation		
