subject	edge_label	object	relation	provided_by
DSMZ:104c	biolink:supportsGrowth	NCBITaxon:1506		BACDIVE:2700
NCBITaxon:459347	biolink:growsIn	DSMZ:220		BACDIVE:1281
DSMZ:220	biolink:supportsGrowth	NCBITaxon:459347		BACDIVE:1281
NCBITaxon:2358141	biolink:growsIn	DSMZ:104b		BACDIVE:158907
DSMZ:104b	biolink:supportsGrowth	NCBITaxon:2358141		BACDIVE:158907
NCBITaxon:1912090	biolink:growsIn	DSMZ:110a		BACDIVE:140415
DSMZ:110a	biolink:supportsGrowth	NCBITaxon:1912090		BACDIVE:140415
NCBITaxon:1872086	biolink:growsIn	DSMZ:1613		BACDIVE:132237
DSMZ:1613	biolink:supportsGrowth	NCBITaxon:1872086		BACDIVE:132237
NCBITaxon:1009370	biolink:growsIn	DSMZ:311c		BACDIVE:17111
DSMZ:311c	biolink:supportsGrowth	NCBITaxon:1009370		BACDIVE:17111
NCBITaxon:1886	biolink:growsIn	DSMZ:65		BACDIVE:14912
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1886		BACDIVE:14912
NCBITaxon:28185	biolink:growsIn	DSMZ:1264		BACDIVE:14331
DSMZ:1264	biolink:supportsGrowth	NCBITaxon:28185		BACDIVE:14331
NCBITaxon:394751	biolink:growsIn	DSMZ:514		BACDIVE:12701
DSMZ:514	biolink:supportsGrowth	NCBITaxon:394751		BACDIVE:12701
NCBITaxon:33	biolink:growsIn	DSMZ:9		BACDIVE:9759
DSMZ:9	biolink:supportsGrowth	NCBITaxon:33		BACDIVE:9759
NCBITaxon:797210	biolink:growsIn	DSMZ:1138		BACDIVE:5973
DSMZ:1138	biolink:supportsGrowth	NCBITaxon:797210		BACDIVE:5973
NCBITaxon:891	biolink:growsIn	DSMZ:95		BACDIVE:4227
DSMZ:95	biolink:supportsGrowth	NCBITaxon:891		BACDIVE:4227
NCBITaxon:83450	biolink:growsIn	DSMZ:9		BACDIVE:3475
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83450		BACDIVE:3475
NCBITaxon:1423	biolink:growsIn	DSMZ:1		BACDIVE:979
DSMZ:1	biolink:supportsGrowth	NCBITaxon:1423		BACDIVE:979
NCBITaxon:1408	biolink:growsIn	DSMZ:220		BACDIVE:780
DSMZ:220	biolink:supportsGrowth	NCBITaxon:1408		BACDIVE:780
NCBITaxon:1404	biolink:growsIn	DSMZ:1		BACDIVE:726
DSMZ:1	biolink:supportsGrowth	NCBITaxon:1404		BACDIVE:726
NCBITaxon:2871696	biolink:growsIn	DSMZ:822		BACDIVE:132473
DSMZ:822	biolink:supportsGrowth	NCBITaxon:2871696		BACDIVE:132473
NCBITaxon:428993	biolink:growsIn	DSMZ:1a		BACDIVE:24680
DSMZ:1a	biolink:supportsGrowth	NCBITaxon:428993		BACDIVE:24680
NCBITaxon:408067	biolink:growsIn	DSMZ:65		BACDIVE:16426
DSMZ:65	biolink:supportsGrowth	NCBITaxon:408067		BACDIVE:16426
NCBITaxon:1892	biolink:growsIn	DSMZ:65		BACDIVE:14993
DSMZ:65	biolink:supportsGrowth	NCBITaxon:1892		BACDIVE:14993
NCBITaxon:43767	biolink:growsIn	DSMZ:535		BACDIVE:10846
DSMZ:535	biolink:supportsGrowth	NCBITaxon:43767		BACDIVE:10846
NCBITaxon:1962667	biolink:growsIn	DSMZ:9		BACDIVE:10419
DSMZ:9	biolink:supportsGrowth	NCBITaxon:1962667		BACDIVE:10419
NCBITaxon:59813	biolink:growsIn	DSMZ:354		BACDIVE:8245
DSMZ:354	biolink:supportsGrowth	NCBITaxon:59813		BACDIVE:8245
NCBITaxon:91891	biolink:growsIn	DSMZ:585		BACDIVE:6716
DSMZ:585	biolink:supportsGrowth	NCBITaxon:91891		BACDIVE:6716
NCBITaxon:876	biolink:growsIn	DSMZ:63		BACDIVE:4075
DSMZ:63	biolink:supportsGrowth	NCBITaxon:876		BACDIVE:4075
NCBITaxon:83460	biolink:growsIn	DSMZ:9		BACDIVE:3709
DSMZ:9	biolink:supportsGrowth	NCBITaxon:83460		BACDIVE:3709
NCBITaxon:197	biolink:growsIn	DSMZ:693		BACDIVE:2153
DSMZ:693	biolink:supportsGrowth	NCBITaxon:197		BACDIVE:2153
NCBITaxon:173041	biolink:growsIn	DSMZ:931		BACDIVE:1404
DSMZ:931	biolink:supportsGrowth	NCBITaxon:173041		BACDIVE:1404
NCBITaxon:1409	biolink:growsIn	DSMZ:1		BACDIVE:822
DSMZ:1	biolink:supportsGrowth	NCBITaxon:1409		BACDIVE:822
NCBITaxon:2293571	biolink:growsIn	DSMZ:65		BACDIVE:158473
